x,y,is_wall
-0.25,-0.16,1
1.03,0.17,1
1.32,-0.29,1
0.82,0.3,1
-0.24,0.01,1
0.71,0.25,1
0.31,0.38,1
0.73,-0.4,1
-0.24,0.03,1
-0.23,0.21,1
-0.23,0.22,1
-0.23,0.24,1
-0.23,0.28,1
-0.23,0.29,1
0.07,-0.4,1
-0.23,0.3,1
-0.23,0.31,1
-0.25,-0.38,1
-0.23,0.32,1
0.76,0.18,1
-0.24,-0.35,1
0.77,0.17,1
0.83,0.16,1
0.94,0.17,1
1.34,0.04,1
-0.12,0.42,1
0.05,0.41,1
0.85,0.15,1
-0.23,-0.39,1
0.68,0.18,1
1.37,-0.05,1
1.38,-0.12,0
0.19,-0.4,1
-0.23,0.25,1
0.24,-0.4,1
0.68,-0.38,0
0.77,0.31,0
0.49,-0.41,1
0.66,-0.37,1
0.47,-0.41,1
0.64,-0.37,1
0.22,-0.41,1
-0.21,-0.38,1
1.36,-0.03,1
1.36,0.14,1
1.16,0.17,1
0.76,0.3,0
0.82,0.25,1
0.42,0.38,1
0.73,0.2,1
-0.24,-0.23,1
-0.23,0.42,1
0.74,0.15,1
-0.25,-0.28,1
0.79,0.17,1
-0.08,0.42,1
0.09,0.41,1
0.89,0.15,1
0.82,0.2,1
1.39,-0,1
0.19,0.39,1
0.98,-0.37,1
1.37,0.09,1
1.37,0.06,1
1.36,-0.05,1
1.38,-0.11,0
0.69,-0.37,1
0.93,-0.4,1
0.62,0.32,1
1.33,-0.27,1
1.35,-0.26,1
0.95,-0.39,1
0.97,-0.38,0
1.37,-0.25,1
0.73,0.28,0
1.13,0.15,1
-0.24,-0.15,1
-0.24,-0.02,1
0.64,-0.39,1
0.59,-0.4,1
-0.24,0.17,1
1.32,-0.27,1
-0.24,0.02,1
1.33,0.15,1
0.84,0.36,1
-0.22,0.07,1
0.71,-0.36,1
0.42,-0.41,1
1.65,-0.63,1
0.76,-0.33,1
0.57,0.39,1
1.37,0.13,1
-0.24,-0.37,1
0.76,0.16,1
0.77,0.19,1
-0.25,-0.31,1
0.77,0.22,1
0.73,0.17,1
-0.24,-0.26,1
0.76,0.27,1
1.16,0.16,1
0.76,0.29,1
0.5,-0.41,1
0.67,-0.37,1
0.76,0.31,1
0.33,0.4,1
1.13,0.14,1
0.73,0.27,1
-0.24,-0.16,1
1.33,-0.26,1
0.65,-0.39,1
0.65,-0.38,1
0.65,-0.37,1
0.65,-0.35,1
0.73,0.38,1
0.82,-0.34,1
-0.24,-0.05,1
1.33,-0.18,1
-0.24,-0.03,1
-0.23,0.01,1
0.72,-0.4,1
-0.23,0.03,1
0.89,-0.37,1
0.66,0.35,1
1.78,-0.65,0
0.89,-0.35,1
0.66,0.37,1
0.16,-0.39,1
-0.01,-0.4,1
1.32,-0.25,1
0.92,-0.38,1
-0.23,0.13,1
1.32,-0.23,1
0.92,-0.36,0
-0.23,0.14,1
0.8,0.33,1
0.75,-0.39,1
0.8,0.35,1
0.75,-0.37,1
-0.23,0.18,1
0.8,0.37,1
0.75,-0.35,1
-0.22,0.28,1
0.06,-0.4,1
-0.22,0.3,1
-0.22,0.31,1
0.77,0.36,1
0.78,-0.36,1
0.61,-0.4,1
1.71,-0.63,0
0.73,0.39,1
-0.24,-0.04,1
0.78,0.24,1
0.83,0.35,1
-0.23,0.06,1
0.72,-0.37,0
0.69,0.34,1
0.86,-0.38,1
2.4,-0.67,1
0.5,0.38,1
0.73,0.31,0
0.82,-0.41,1
-0.24,-0.12,1
2.36,-0.66,0
1.36,-0.22,1
0.59,0.37,1
-0.24,-0.2,1
0.72,-0.39,1
-0.23,0.04,1
0.74,0.24,1
-0.25,-0.19,1
1.67,-0.68,1
0.78,-0.38,1
0.77,0.34,0
1.35,-0.21,1
0.6,0.38,1
1.62,-0.65,1
0.73,-0.35,1
0.82,0.37,1
-0.24,0.08,1
0.88,-0.35,1
0.67,0.37,1
0.91,-0.39,1
1.31,-0.26,1
0.64,0.33,1
1.15,0.17,1
0.75,0.3,0
-0.23,-0.23,1
0.81,0.25,1
0.41,0.38,1
0.73,0.16,1
-0.24,-0.27,1
-0.24,0.42,1
0.73,0.15,1
-0.24,-0.28,1
0.77,0.24,1
0.74,0.14,1
-0.23,0.41,1
-0.25,-0.29,1
0.27,-0.41,1
0.78,0.17,1
-0.22,0.34,1
2.49,-0.69,0
-0.26,-0.36,1
0.79,0.16,1
-0.16,0.42,1
0.01,0.41,1
0.81,0.15,1
0.89,0.16,1
1.38,0.03,1
0.98,0.16,1
-0,-0.4,1
1.36,-0.32,0
0.19,0.4,1
0.99,0.14,1
0.8,0.28,1
1.2,0.15,1
0.85,0.16,1
0.18,0.39,1
1.38,-0,1
1.39,-0.04,1
1.39,-0.11,1
0.58,-0.39,1
1.38,-0.13,1
0.78,0.14,1
-0.19,0.41,1
1.37,-0.16,1
0.35,-0.4,1
1.38,0.15,1
1.37,-0.18,1
0.85,0.35,1
0.7,-0.37,1
-0.23,0.23,1
0.96,-0.4,1
1.36,-0.27,1
0.7,0.33,1
0.85,-0.39,1
-0.23,0.2,1
0.41,-0.41,1
0.89,0.14,1
0.09,0.4,1
-0.08,0.41,1
0.99,0.16,1
1.36,-0.3,1
-0.26,-0.38,1
-0.22,0.32,1
2.53,-0.75,0
0.73,0.18,1
-0.24,-0.25,1
1.03,-0.38,0
-0.22,0.14,1
0.81,0.33,0
0.74,-0.39,1
1.76,-0.65,0
0.68,0.37,1
0.87,-0.35,1
0.7,-0.39,1
-0.23,0.17,1
0.58,-0.4,1
0.63,-0.39,1
0.48,-0.4,1
0.65,-0.36,1
0.62,0.39,1
1.33,-0.2,1
0.6,-0.4,1
1.66,-0.66,1
0.78,0.36,1
0.77,-0.36,1
2.31,-0.65,0
1.61,-0.64,1
-0.23,0.09,1
0.89,-0.34,0
0.66,0.38,1
0.83,0.36,1
-0.23,0.07,1
0.72,-0.36,1
0.9,0.14,1
0.1,0.4,1
-0.07,0.41,1
-0.22,0.2,1
0.4,-0.41,1
0.72,0.19,1
-0.23,-0.24,1
1.15,0.16,1
0.75,0.29,1
1.26,0.17,1
-0.22,0.21,1
-0.22,0.22,1
0.72,0.21,1
-0.23,-0.22,1
0.75,0.31,1
-0.22,0.23,1
0.51,-0.4,1
0.59,0.39,1
1.39,0.13,1
1.36,-0.2,1
0.72,0.22,1
-0.23,-0.21,1
1.34,-0.34,1
0.8,-0.4,1
0.75,0.32,0
-0.22,0.24,1
0.23,-0.41,1
1.26,0.16,1
0.72,0.18,1
-0.23,-0.25,1
0.72,0.23,1
-0.23,-0.2,1
0.97,-0.35,1
1.38,0.11,1
0.58,0.37,1
2.48,-0.73,0
-0.21,0.3,1
0.72,0.3,1
-0.23,-0.13,1
0.94,-0.39,1
1.34,-0.26,1
-0.22,0.05,1
0.71,-0.38,1
-0.21,0.32,1
0.94,-0.35,1
0.61,0.37,1
1.34,-0.22,1
0.66,-0.38,0
